"id","name"
2,Shoe Storage Area
3,Shoe Racks / Sandals
4,Hall Multipurpose
5,Body Treatment Equip
6,Park Area
7,Mukena
8,Sarong
9,Warehouse
10,Sound System
12,Bathroom
13,Al Quran
14,Mimbar
15,Microphone
16,Cap
17,Library
11,Place of Wudhu
18,Mini Market
19,MDA
20,Paud
1,Secretarial Office
